	RyersonU	sageryerson	TetraRyerson	mathryerson	
allisonsup	0.001856567152681522	0.0	0.0	0.0	
allnight	0.003713134305363044	0.0	0.0	0.0	
allowed	0.001856567152681522	0.0	0.0	0.0	
ally	0.003713134305363044	0.0	0.0	0.0	
alok	0.0055697014580445665	0.0	0.0	0.0	
alongside	0.001856567152681522	0.0	0.0	0.0	
alter	0.001856567152681522	0.0	0.0	0.0	
alternative	0.009282835763407611	0.0	0.0	0.0	
althea	0.001856567152681522	0.0	0.0	0.0	
alum	0.020422238679496746	0.0	0.0	0.0	
alumna	0.001856567152681522	0.0	0.0	0.0	
alumni	0.04827074596971958	0.0	0.0	0.0	
alumnus	0.007426268610726088	0.0	0.0	0.0	
alums	0.001856567152681522	0.0	0.0	0.0	
amatthewsdavid	0.009282835763407611	0.0	0.0	0.0	
amazing	0.012995970068770655	0.0	0.0	0.0	
amazon	0.0055697014580445665	0.0	0.0	0.0	
amazons	0.001856567152681522	0.0	0.0	0.0	
ambassador	0.001856567152681522	0.0	0.0	0.0	
ambassadors	0.0055697014580445665	0.0	0.0	0.0	
ameng	0.0	0.0	0.0	0.2263206129578869	
amenglg	0.0	0.0	0.0	0.010777172045613662	
ameph	0.0	0.0	0.0	0.010777172045613662	
america	0.011139402916089133	0.0	0.0	0.0	
american	0.0027848507290222833	0.0	0.0	0.005388586022806831	
amlocation	0.0	0.0	0.0	0.010777172045613662	
amritakafresher	0.001856567152681522	0.0	0.0	0.0	
amritaunivs	0.003713134305363044	0.0	0.0	0.0	
amspeaker	0.0	0.0	0.0	0.03233151613684099	
amvote	0.001856567152681522	0.0	0.0	0.0	
analysis	0.0	0.0	0.0	0.010777172045613662	
analytics	0.0055697014580445665	0.0	0.0	0.0	
anastasiapkb	0.001856567152681522	0.0	0.0	0.0	
anatoliy	0.001856567152681522	0.0	0.0	0.0	
ancestral	0.001856567152681522	0.0	0.0	0.0	
anderson	0.001856567152681522	0.0	0.0	0.0	
andre	0.003713134305363044	0.0	0.0	0.0	
andrea	0.0	0.0	0.0	0.010777172045613662	
andrew	0.0055697014580445665	0.0	0.0	0.010777172045613662	
andrzej	0.0	0.0	0.0	0.010777172045613662	
anew	0.001856567152681522	0.0	0.0	0.0	
angelajvink	0.001856567152681522	0.0	0.0	0.0	
animal	0.001856567152681522	0.0	0.0	0.0	
animatk	0.001856567152681522	0.0	0.0	0.0	
anisab	0.001856567152681522	0.0	0.0	0.0	
ann	0.0064979850343853274	0.0	0.0	0.005388586022806831	
anna	0.0	0.0	0.0	0.03233151613684099	
annaliese	0.001856567152681522	0.0	0.0	0.0	
anncavoukian	0.001856567152681522	0.0	0.0	0.0	
annette	0.001856567152681522	0.0	0.0	0.0	
anniepoulin	0.001856567152681522	0.0	0.0	0.0	
anniversary	0.0055697014580445665	0.0	0.0	0.0	
announced	0.0027848507290222833	0.0	0.0	0.010777172045613662	
announcement	0.0027848507290222833	0.0	0.0	0.010777172045613662	
announces	0.0055697014580445665	0.0	0.0	0.0	
announcing	0.001856567152681522	0.0	0.0	0.0	
annu	0.003713134305363044	0.0	0.0	0.0	
annual	0.02413537298485979	0.0	0.0	0.0	
annugaidhu	0.003713134305363044	0.0	0.0	0.0	
answer	0.001856567152681522	0.0	0.0	0.0	
answers	0.020422238679496746	0.0	0.0	0.0	
anthony	0.0	0.0	0.0	0.06466303227368198	
anticipate	0.001856567152681522	0.0	0.0	0.0	
anton	0.001856567152681522	0.0	0.0	0.0	
antony	0.014852537221452177	0.0	0.0	0.0	
anxiety	0.007426268610726088	0.0	0.0	0.0	
anyssaclose	0.003713134305363044	0.0	0.0	0.0	
apartment	0.001856567152681522	0.0	0.0	0.0	
apollonian	0.0	0.0	0.0	0.010777172045613662	
apologies	0.007426268610726088	0.0	0.0	0.0	
app	0.004237997435607002	0.1531460704689738	0.0	0.002236465267554677	
appdeadlinejan	0.0	0.0	0.0	0.010777172045613662	
appear	0.001856567152681522	0.0	0.0	0.0	
appearance	0.001856567152681522	0.0	0.0	0.0	
appears	0.001856567152681522	0.0	0.0	0.0	
appelt	0.001856567152681522	0.0	0.0	0.0	
applepiyah	0.001856567152681522	0.0	0.0	0.0	
appletreeto	0.0055697014580445665	0.0	0.0	0.0	
application	0.010211119339748373	0.0	0.0	0.005388586022806831	
applications	0.0167091043741337	0.0	0.0	0.010777172045613662	
applied	0.018565671526815222	0.0	0.0	0.010777172045613662	
apply	0.019493955103155984	0.0	0.0	0.010777172045613662	
applynominated	0.0	0.0	0.0	0.010777172045613662	
applysept	0.0	0.0	0.0	0.010777172045613662	
appointed	0.009282835763407611	0.0	0.0	0.010777172045613662	
appointment	0.001856567152681522	0.0	0.0	0.0	
appreciation	0.001856567152681522	0.0	0.0	0.0	
approaches	0.001856567152681522	0.0	0.0	0.0	
approved	9.28283576340761E-4	0.0	0.0	0.005388586022806831	
approves	0.001856567152681522	0.0	0.0	0.0	
apps	0.0	0.0	0.0	0.010777172045613662	
apr	0.0	0.0	0.0	0.021554344091227324	
april	9.28283576340761E-4	0.0	0.0	0.04849727420526148	
arab	0.003713134305363044	0.0	0.0	0.0	
arachchige	0.001856567152681522	0.0	0.0	0.0	
arafatday	0.001856567152681522	0.0	0.0	0.0	
arc	0.0055697014580445665	0.0	0.0	0.0	
architect	0.003713134305363044	0.0	0.0	0.0	
architectural	0.003713134305363044	0.0	0.0	0.0	
architecture	0.014852537221452177	0.0	0.0	0.0	
arctic	0.0055697014580445665	0.0	0.0	0.0	
area	0.0055697014580445665	0.0	0.0	0.0	
arguments	0.0	0.0	0.0	0.010777172045613662	
arising	9.28283576340761E-4	0.0	0.0	0.005388586022806831	
arjunsethi	0.001856567152681522	0.0	0.0	0.0	
arlain	0.001856567152681522	0.0	0.0	0.0	
arlene	0.003713134305363044	0.0	0.0	0.0	
aronsolomon	0.003713134305363044	0.0	0.0	0.0	
arrange	0.001856567152681522	0.0	0.0	0.0	
arrested	0.001856567152681522	0.0	0.0	0.0	
arseniclaced	0.001856567152681522	0.0	0.0	0.0	
art	0.009282835763407611	0.0	0.0	0.0	
arthur	0.001856567152681522	0.0	0.0	0.0	
artist	0.0055697014580445665	0.0	0.0	0.0	
artists	0.009282835763407611	0.0	0.0	0.0	
artmblake	0.003713134305363044	0.0	0.0	0.0	
arts	0.012995970068770655	0.0	0.0	0.0	
aryeh	0.001856567152681522	0.0	0.0	0.0	
ashoka	0.003713134305363044	0.0	0.0	0.0	
asian	0.003713134305363044	0.0	0.0	0.0	
asparagus	0.001856567152681522	0.0	0.0	0.0	
aspiring	0.001856567152681522	0.0	0.0	0.0	
asrderakhshanon	0.0	0.0	0.0	0.010777172045613662	
assess	0.001856567152681522	0.0	0.0	0.0	
assessment	0.0	0.0	0.0	0.010777172045613662	
assigned	0.003713134305363044	0.0	0.0	0.0	
assistance	0.0027848507290222833	0.0	0.0	0.005388586022806831	
assistant	0.0	0.0	0.0	0.010777172045613662	
assisted	0.001856567152681522	0.0	0.0	0.0	
assoc	0.0	0.0	0.0	0.010777172045613662	
association	0.0	0.0	0.0	0.010777172045613662	
assured	0.003713134305363044	0.0	0.0	0.0	
astronaut	0.003713134305363044	0.0	0.0	0.0	
athletes	0.003713134305363044	0.0	0.0	0.0	
athletic	0.003713134305363044	0.0	0.0	0.0	
athletics	0.009282835763407611	0.0	0.0	0.0	
atkinson	0.009282835763407611	0.0	0.0	0.0	
atom	0.001856567152681522	0.0	0.0	0.0	
atrium	0.0055697014580445665	0.0	0.0	0.0	
attachment	0.0	0.0	0.0	0.010777172045613662	
attacks	0.001856567152681522	0.0	0.0	0.0	
attend	0.06776470107287556	0.0	0.0	0.005388586022806831	
attended	0.001856567152681522	0.0	0.0	0.0	
attendees	0.001856567152681522	0.0	0.0	0.0	
attending	0.020422238679496746	0.0	0.0	0.0	
attention	0.003713134305363044	0.0	0.0	0.0	
attn	0.011139402916089133	0.0	0.0	0.0	
audio	0.001856567152681522	0.0	0.0	0.0	
audition	0.001856567152681522	0.0	0.0	0.0	
audsinger	0.001856567152681522	0.0	0.0	0.0	
aug	0.021350522255837504	0.0	0.0	0.005388586022806831	
august	0.0027848507290222833	0.0	0.0	0.016165758068420494	
authentication	0.001856567152681522	0.0	0.0	0.0	
authorities	0.001856567152681522	0.0	0.0	0.0	
autism	0.003713134305363044	0.0	0.0	0.0	
auto	0.001856567152681522	0.0	0.0	0.0	
