	CatsRuleNews	TheCatTweeting	sweetiepiecat	ElDiabloZoe	
amazons	0.0	0.005868860272391637	0.0	0.0	
amazonstudios	0.0	0.0	0.0045369390578912	0.0	
ambereyes	0.0	0.0	0.0090738781157824	0.0	
amen	0.0	0.0	0.0090738781157824	0.0	
americahappy	0.0	0.0	0.0090738781157824	0.0	
american	0.0	0.0	0.0045369390578912	0.0	
americas	0.0	0.0029344301361958185	0.0022684695289456	0.0	
amethyst	0.0	0.0	0.0045369390578912	0.0	
amico	0.0	0.0	0.0045369390578912	0.0	
amigo	0.0	0.0	0.0045369390578912	0.0	
amigos	0.0	0.0	0.013610817173673599	0.0	
amor	0.0	0.0	0.013610817173673599	0.0	
amorous	0.0	0.0	0.0045369390578912	0.0	
amusement	0.0	0.005868860272391637	0.0	0.0	
anarchy	0.0	0.0	0.0045369390578912	0.0	
ancestors	0.0	0.0	0.0090738781157824	0.0	
ancient	0.0	0.0	0.0045369390578912	0.0	
andrearach	0.0	0.0	0.0045369390578912	0.0	
angel	0.0	0.0	0.0045369390578912	0.0	
angeles	0.0	0.0	0.0090738781157824	0.0	
angelica	0.0	0.0	0.0045369390578912	0.0	
angelina	0.0	0.0	0.0045369390578912	0.0	
angels	0.0	0.0	0.0045369390578912	0.0	
anger	0.0	0.0	0.022684695289456	0.0	
angle	0.0	0.0	0.0045369390578912	0.0	
angry	0.0	0.0	0.013610817173673599	0.0	
animal	0.0	0.0	0.08620184209993279	0.0	
animaldotgirl	0.0	0.0	0.0045369390578912	0.0	
animalhumanemn	0.0	0.03521316163434982	0.0	0.0	
animallover	0.0	0.0	0.0090738781157824	0.0	
animals	0.0	0.0	0.12249735456306239	0.0	
animalshappy	0.0	0.0	0.0045369390578912	0.0	
animalsscratch	0.0	0.0	0.0045369390578912	0.0	
animated	0.0	0.0	0.0045369390578912	0.0	
anitanorthstar	0.0	0.0	0.0045369390578912	0.0	
ankle	0.0	0.0	0.0045369390578912	0.0	
annie	0.0	0.0	0.0045369390578912	0.0	
announcing	0.0	0.0	0.0045369390578912	0.0	
annoying	0.0	0.0	0.0090738781157824	0.0	
annual	0.0	0.0	0.0045369390578912	0.0	
anotherworld	0.03981693508395617	0.0	0.0	0.0	
answer	0.019908467541978087	0.0	0.006805408586836799	0.0	
answers	0.0	0.0	0.0045369390578912	0.0	
ant	0.0	0.0	0.0045369390578912	0.0	
anthony	0.0	0.0	0.0045369390578912	0.0	
antisemitic	0.03981693508395617	0.0	0.0	0.0	
antonio	0.0	0.0	0.0045369390578912	0.0	
anymoreforty	0.0	0.0	0.0045369390578912	0.0	
anymy	0.0	0.0	0.0045369390578912	0.0	
anytime	0.0	0.0	0.0045369390578912	0.0	
aparently	0.0	0.005868860272391637	0.0	0.0	
apart	0.0	0.0	0.0045369390578912	0.0	
apartment	0.0	0.0	0.0090738781157824	0.0	
apartments	0.0	0.0	0.0090738781157824	0.0	
ape	0.0	0.0029344301361958185	0.0045369390578912	0.0	
apes	0.0	0.0	0.0045369390578912	0.0	
apocalypse	0.0	0.0	0.0045369390578912	0.0	
apocolyspe	0.0	0.0	0.0045369390578912	0.0	
apologies	0.03981693508395617	0.0	0.0	0.0	
appear	0.0	0.005868860272391637	0.0	0.0	
appearance	0.0	0.0	0.0045369390578912	0.0	
appetite	0.0	0.0	0.0045369390578912	0.0	
appetizer	0.0	0.0	0.0045369390578912	0.0	
appetizers	0.0	0.0	0.0045369390578912	0.0	
appetizing	0.0	0.0	0.0045369390578912	0.0	
apple	0.0	0.0	0.022684695289456	0.0	
appletree	0.03981693508395617	0.0	0.0	0.0	
apply	0.0	0.0	0.0045369390578912	0.0	
appreciate	0.0	0.0	0.0090738781157824	0.0	
appreciates	0.0	0.0	0.0090738781157824	0.0	
apprised	0.0	0.0	0.0045369390578912	0.0	
approaching	0.0	0.0	0.0045369390578912	0.0	
approve	0.0	0.0	0.0045369390578912	0.0	
april	0.0	0.0	0.0045369390578912	0.0	
aprobe	0.0	0.0	0.0045369390578912	0.0	
apt	0.0	0.0	0.0045369390578912	0.0	
archerpaws	0.0	0.0	0.0045369390578912	0.0	
archie	0.03981693508395617	0.0	0.0	0.0	
archiedacutecat	0.03981693508395617	0.0	0.0	0.0	
area	0.0	0.0	0.0045369390578912	0.0	
areas	0.03981693508395617	0.0	0.0	0.0	
argue	0.0	0.0	0.0045369390578912	0.0	
argument	0.0	0.0	0.0090738781157824	0.0	
arguments	0.0	0.0	0.0045369390578912	0.0	
arigato	0.0	0.0	0.0045369390578912	0.0	
aristocats	0.0	0.0	0.0045369390578912	0.0	
arm	0.0	0.01760658081717491	0.0	0.0	
armadillo	0.0	0.0	0.0045369390578912	0.0	
armor	0.0	0.0	0.0045369390578912	0.0	
armstrong	0.0	0.0	0.0045369390578912	0.0	
army	0.0	0.0	0.0045369390578912	0.0	
aroundim	0.0	0.0	0.0045369390578912	0.0	
aroundthats	0.0	0.0	0.0045369390578912	0.0	
arrived	0.0	0.005868860272391637	0.0	0.0	
art	0.0	0.0	0.0090738781157824	0.0	
arthurobrienluv	0.03981693508395617	0.0	0.0	0.0	
article	0.03981693508395617	0.0	0.0	0.0	
artistic	0.0	0.0	0.0090738781157824	0.0	
artsey	0.0	0.0	0.0045369390578912	0.0	
artsy	0.0	0.0	0.0045369390578912	0.0	
artwont	0.0	0.0	0.0090738781157824	0.0	
artwork	0.0	0.0	0.0045369390578912	0.0	
ashleynicolett	0.0	0.0	0.0045369390578912	0.0	
asia	0.0	0.0	0.0045369390578912	0.0	
askcan	0.03981693508395617	0.0	0.0	0.0	
asked	0.0	0.0	0.0090738781157824	0.0	
asklyft	0.0	0.0	0.0045369390578912	0.0	
asleep	0.0	0.005868860272391637	0.0022684695289456	0.0	
aspca	0.0	0.0	0.013610817173673599	0.0	
aspirations	0.0	0.0	0.0045369390578912	0.0	
aspiring	0.0	0.0	0.0045369390578912	0.0	
ass	0.0	0.0	0.0045369390578912	0.0	
asshole	0.0	0.005868860272391637	0.0	0.0	
assigns	0.03981693508395617	0.0	0.0	0.0	
assume	0.0	0.0	0.0045369390578912	0.0	
assure	0.0	0.005868860272391637	0.0	0.0	
asteroid	0.0	0.005868860272391637	0.0	0.0	
ate	0.0	0.0	0.027221634347347198	0.0	
ateemstill	0.0	0.0	0.0045369390578912	0.0	
atop	0.0	0.05868860272391637	0.0	0.0	
att	0.0	0.0	0.0045369390578912	0.0	
attach	0.0	0.0	0.013610817173673599	0.0	
attack	0.0	0.0	0.0045369390578912	0.06592363023370487	
attempt	0.0	0.008803290408587456	0.0022684695289456	0.0	
attempts	0.0	0.005868860272391637	0.0	0.0	
attend	0.0	0.0	0.0045369390578912	0.0	
attention	0.0	0.026409871225762365	0.0158792867026192	0.0	
attitude	0.0	0.0	0.0090738781157824	0.0	
attracted	0.0	0.0	0.0045369390578912	0.0	
auction	0.03981693508395617	0.0	0.0	0.0	
audience	0.0	0.0	0.0045369390578912	0.0	
august	0.0	0.0	0.0045369390578912	0.0	
aunt	0.0	0.0	0.0045369390578912	0.0	
auteurs	0.0	0.0	0.0045369390578912	0.0	
authority	0.0	0.0	0.0045369390578912	0.0	
autistic	0.0	0.005868860272391637	0.0	0.0	
autobiography	0.0	0.0	0.0045369390578912	0.0	
autograph	0.0	0.0	0.0045369390578912	0.0	
autumn	0.0	0.0	0.0181477562315648	0.0	
avenuethe	0.0	0.0	0.0045369390578912	0.0	
await	0.0	0.005868860272391637	0.0022684695289456	0.0	
awake	0.0	0.01760658081717491	0.011342347644728	0.0	
awaken	0.0	0.01760658081717491	0.0	0.0	
awakened	0.0	0.0	0.0045369390578912	0.0	
award	0.0	0.0	0.0090738781157824	0.0	
awards	0.0	0.0	0.0045369390578912	0.0	
aware	0.0	0.0	0.0045369390578912	0.0	
awesome	0.019908467541978087	0.026409871225762365	0.0	0.0	
awful	0.0	0.0	0.0045369390578912	0.0	
awhile	0.0	0.0	0.0045369390578912	0.0	
awhilenow	0.0	0.0	0.0045369390578912	0.0	
awoken	0.0	0.005868860272391637	0.0	0.0	
awound	0.0	0.0	0.0045369390578912	0.0	
ayumijyayo	0.0	0.0	0.0045369390578912	0.0	
babies	0.0	0.0	0.022684695289456	0.0	
baby	0.0	0.0	0.1406451107946272	0.0	
babyseal	0.0	0.0	0.0045369390578912	0.0	
babysit	0.0	0.02347544108956655	0.0	0.0	
babysitter	0.0	0.0	0.0090738781157824	0.0	
babyynigel	0.0	0.0	0.0045369390578912	0.0	
backdoor	0.0	0.0	0.0045369390578912	0.0	
backer	0.0	0.005868860272391637	0.0	0.0	
background	0.03981693508395617	0.0	0.0022684695289456	0.0	
backs	0.0	0.0	0.013610817173673599	0.0	
backside	0.0	0.011737720544783274	0.0	0.0	
backup	0.0	0.0	0.0045369390578912	0.0	
backwards	0.0	0.005868860272391637	0.0045369390578912	0.0	
backyard	0.0	0.0	0.0090738781157824	0.0	
bad	0.0	0.008803290408587456	0.0635171468104768	0.0	
badabum	0.0	0.0	0.0045369390578912	0.0	
baddest	0.0	0.0	0.0045369390578912	0.0	
badger	0.0	0.011737720544783274	0.0	0.0	
badly	0.0	0.0	0.0045369390578912	0.0	
