	TorontoStar	only1nabil	AcadieSon	AndreasKalo	
accountability	5.019285200685506E-4	0.0	0.007361480551895291	0.0	
accountable	5.019285200685506E-4	0.0	0.0036807402759476454	0.0	
accountant	0.0020077140802742025	0.0	0.0	0.0	
accounting	0.0	0.0	0.0036807402759476454	0.0023497995561810696	
accounts	0.0	0.0010983777218083947	0.0045829357188726955	0.001950509863207856	
accumulated	0.0	0.0	0.007361480551895291	0.0	
accuracy	0.0	0.0026464541727359617	0.0036807402759476454	0.0	
accurate	0.0	0.0052929083454719235	0.0	0.0	
accusation	0.0	0.0	0.0	0.004699599112362139	
accusations	0.0010038570401371013	0.0	0.0	0.0	
accuse	0.0	0.0	0.029445922207581163	0.0	
accused	0.0027081490512177683	0.0	0.001527645239624232	9.75254931603928E-4	
accuseds	0.0	0.0	0.0	0.004699599112362139	
accuses	0.0015057855602056518	0.0	0.0	0.004699599112362139	
accusing	0.0010038570401371013	0.0	0.0	0.0	
accustom	0.0	0.0052929083454719235	0.0	0.0	
acdc	5.019285200685506E-4	0.0	0.0	0.0023497995561810696	
ace	0.0025096426003427532	0.0026464541727359617	0.0	0.0	
achapman	0.0010038570401371013	0.0	0.0	0.0	
aches	0.0010038570401371013	0.0	0.0	0.0	
achieved	0.0	0.0052929083454719235	0.0	0.0	
achievement	0.0010038570401371013	0.0	0.0	0.0	
achieves	0.0	0.0	0.007361480551895291	0.0	
achilles	0.0	0.0052929083454719235	0.0	0.0	
acid	0.0	0.0	0.007361480551895291	0.0	
acids	0.0010038570401371013	0.0	0.0	0.0	
acknowledge	0.0	0.0	0.0	0.004699599112362139	
acl	0.0010038570401371013	0.0	0.0	0.0	
aclupa	0.0	0.0	0.014722961103790582	0.0	
acorn	0.0020077140802742025	0.0	0.0	0.0	
acoustics	0.0	0.0	0.0	0.004699599112362139	
acquire	4.1663831557196433E-4	0.004393510887233579	0.0	0.001950509863207856	
acquired	0.0	0.010585816690943847	0.0	0.0	
acquires	0.0	0.0052929083454719235	0.0	0.0	
acquiring	0.0	0.0052929083454719235	0.0	0.0	
acquisition	0.0	0.0	0.007361480551895291	0.0	
acquisitions	0.0	0.0	0.007361480551895291	0.0	
acquittal	0.0010038570401371013	0.0	0.0	0.0	
acquitted	0.0020077140802742025	0.0	0.0	0.0	
acres	0.0	0.0	0.007361480551895291	0.0	
acrobatics	0.0	0.0	0.0	0.014098797337086418	
actd	0.0010038570401371013	0.0	0.0	0.0	
acted	0.0010038570401371013	0.0	0.0	0.0	
actin	0.0	0.0	0.0	0.004699599112362139	
acting	0.0	0.0	0.0	0.004699599112362139	
action	0.0	0.0	0.0	0.0	
actionbronson	0.0	0.0	0.0	0.009399198224724278	
actioncam	0.0	0.0052929083454719235	0.0	0.0	
actions	5.019285200685506E-4	0.0	0.0036807402759476454	0.0	
active	0.0	0.0052929083454719235	0.011042220827842937	0.0	
activist	5.019285200685506E-4	0.0	0.014722961103790582	0.0	
activists	0.0	0.0	0.0	0.0	
activity	0.0	0.026464541727359618	0.0	0.0	
actor	0.0027081490512177683	0.0	0.001527645239624232	9.75254931603928E-4	
actors	2.0831915778598217E-4	0.0010983777218083947	0.0	9.75254931603928E-4	
actress	0.0050192852006855065	0.0	0.0036807402759476454	0.0	
acts	5.019285200685506E-4	0.0	0.0	0.0023497995561810696	
actual	0.0	0.0026464541727359617	0.007361480551895291	0.0	
acura	0.0	0.0	0.0	0.009399198224724278	
acwdk	0.0010038570401371013	0.0	0.0	0.0	
ad	6.249574733579465E-4	0.009885399496275553	0.0	0.0029257647948117836	
adam	4.1663831557196433E-4	0.0010983777218083947	0.0	9.75254931603928E-4	
adambomb	0.0	0.0	0.0	0.004699599112362139	
adamfeibel	0.0	0.0	0.0	0.009399198224724278	
adamlevitan	0.0	0.0052929083454719235	0.0	0.0	
adammayerspf	0.0030115711204113035	0.0	0.0	0.0	
adams	0.0020077140802742025	0.0	0.0	0.0	
adapt	5.019285200685506E-4	0.0026464541727359617	0.0	0.0	
adaptation	0.0010038570401371013	0.0	0.0	0.0	
aday	0.0	0.0052929083454719235	0.0	0.0	
add	0.001041595788929911	0.004393510887233579	0.006110580958496928	0.0	
addendum	0.0	0.0	0.007361480551895291	0.0	
adder	0.0010038570401371013	0.0	0.0	0.0	
addict	5.019285200685506E-4	0.0026464541727359617	0.0	0.0	
addicted	0.0010038570401371013	0.0	0.0	0.0	
addiction	4.1663831557196433E-4	0.0021967554436167895	0.001527645239624232	0.0	
adding	0.0	0.0	0.0	0.0	
addition	0.0	0.0	0.0	0.004699599112362139	
additives	0.0	0.0	0.007361480551895291	0.0	
address	8.332766311439287E-4	0.0	0.001527645239624232	0.00487627465801964	
addresses	0.0	0.0	0.0	0.004699599112362139	
adds	0.0	0.0	0.0	0.0	
adebe	0.0010038570401371013	0.0	0.0	0.0	
adelaidehallto	0.0	0.0	0.0	0.004699599112362139	
adele	0.0	0.0026464541727359617	0.0	0.011748997780905348	
adelesnl	0.0	0.0	0.0	0.004699599112362139	
adevotedyogi	0.0	0.0	0.007361480551895291	0.0	
adfree	0.0	0.0	0.0	0.004699599112362139	
adhd	0.0	0.0	0.007361480551895291	0.0	
adidas	0.0	0.021171633381887694	0.0	0.0	
